noise_deg,sep_8.0,sep_12.0,sep_16.0,sep_20.0,sep_24.0,sep_30.0,sep_36.0,sep_44.0,sep_54.0,sep_66.0
0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
4.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.437500,0.937500,1.000000,1.000000,1.000000
8.00,0.125000,0.000000,0.000000,0.062500,0.187500,0.437500,0.687500,1.000000,1.000000,1.000000
12.00,0.437500,0.250000,0.187500,0.125000,0.250000,0.500000,0.687500,0.875000,1.000000,1.000000
16.00,0.562500,0.437500,0.312500,0.312500,0.312500,0.500000,0.625000,0.750000,0.937500,0.937500
20.00,0.625000,0.562500,0.500000,0.437500,0.375000,0.500000,0.625000,0.625000,0.750000,0.812500
24.00,0.750000,0.687500,0.687500,0.562500,0.500000,0.562500,0.625000,0.562500,0.625000,0.687500
