outlier_deg,sep_8.0,sep_12.0,sep_16.0,sep_20.0,sep_24.0,sep_30.0,sep_36.0,sep_44.0,sep_54.0,sep_66.0
0.00,0.125000,0.000000,0.000000,0.062500,0.187500,0.437500,0.687500,1.000000,1.000000,1.000000
5.00,0.187500,0.125000,0.125000,0.250000,0.437500,0.687500,0.937500,1.000000,1.000000,1.000000
10.00,0.437500,0.312500,0.312500,0.437500,0.687500,0.875000,1.000000,1.000000,1.000000,1.000000
15.00,0.687500,0.625000,0.625000,0.687500,0.875000,1.000000,1.000000,1.000000,1.000000,1.000000
20.00,0.937500,0.875000,0.875000,0.937500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25.00,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30.00,0.750000,0.812500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
