noise_deg,sep_8.0,sep_12.0,sep_16.0,sep_20.0,sep_24.0,sep_30.0,sep_36.0,sep_44.0,sep_54.0,sep_66.0
0.00,0.116198,0.108742,0.099892,0.090601,0.081594,0.069613,0.060161,0.051939,0.048682,0.054583
4.00,0.116034,0.108582,0.099742,0.090460,0.081460,0.069486,0.060036,0.051810,0.048542,0.054427
8.00,0.115648,0.108180,0.099322,0.090029,0.081022,0.069064,0.059639,0.051480,0.048328,0.054278
12.00,0.115258,0.107783,0.098919,0.089608,0.080606,0.068707,0.059446,0.051544,0.048524,0.054592
16.00,0.115108,0.107678,0.098894,0.089727,0.080925,0.069444,0.060476,0.052611,0.049547,0.055740
20.00,0.115467,0.108218,0.099701,0.090949,0.082643,0.071624,0.062813,0.054983,0.051898,0.058134
24.00,0.116623,0.109749,0.101759,0.093596,0.085748,0.075098,0.066417,0.058681,0.055670,0.061866
