noise_deg,sep_8.0,sep_12.0,sep_16.0,sep_20.0,sep_24.0,sep_30.0,sep_36.0,sep_44.0,sep_54.0,sep_66.0
0.00,0.120685,0.117340,0.112309,0.105533,0.096995,0.081008,0.044539,0.038332,0.036464,0.042876
4.00,0.119940,0.116522,0.111450,0.104642,0.096077,0.069126,0.046189,0.038378,0.036497,0.042861
8.00,0.117897,0.114209,0.108919,0.099849,0.088189,0.069331,0.053548,0.039090,0.037116,0.043350
12.00,0.114954,0.110788,0.101171,0.094991,0.084516,0.067906,0.055373,0.043517,0.038910,0.044908
16.00,0.111674,0.103518,0.098491,0.089450,0.082038,0.068936,0.059541,0.048755,0.042668,0.047939
20.00,0.106203,0.101942,0.094129,0.087764,0.082360,0.071031,0.063080,0.054314,0.047888,0.052596
24.00,0.106555,0.101154,0.095063,0.089230,0.083560,0.074273,0.067506,0.059529,0.053821,0.058188
